OBJECTID,LABELTXT,SQ_MILES,GlobalID,created_user,created_date,last_edited_user,last_edited_date,MUNYCODE,MUNICIPALITY,SHAPEarea,SHAPElen
1,99,0.02632731,{824BFC18-B673-4471-9659-8B453C847E01},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,733960.386013013,3606.50733870257
2,99,0.01620425,{0B1AC498-C43C-4E04-8221-25ACE792AC53},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,451746.734368075,2979.5469834468
3,64,0.09142287,{BDE3F188-FA36-46C3-AE26-58160C9BA195},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,046,PASADENA PARK,2548713.15329787,7820.1735647238
4,63,0.21138557,{1873BB80-9436-48DF-933B-6B9E1CACB55F},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,045,PASADENA HILLS,5893067.92743546,12398.0510921492
5,99,0.00104069,{57BE923A-33B3-4191-BB1E-4712D0062174},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,29012.7237665927,1039.35201843314
6,56,0.67333775,{FFF62DCA-3816-4ACF-BD81-EC7D5F952ADF},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,040,NORTHWOODS,18771504.1253068,18590.0251196312
7,99,0.00119324,{40D7ECE2-0B53-4575-BD43-1F3DA4D63B67},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,33265.5008067907,1127.94938388257
8,99,0.02893888,{C9D571DB-0A20-487C-9BDD-0AF862DF03A9},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,806766.417642034,11550.6797695868
9,36,0.03122508,{EDCDA157-D40C-4C13-94EA-69FD271C41FB},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,027,GLEN ECHO PARK,870501.65891539,4583.82450461585
10,99,0.00475766,{CB7405AD-C69B-4560-B16D-76F2D790D231},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,132635.422213648,1685.06865729681
11,99,0.00121602,{3A4356B8-9C83-4436-8D2A-7156FC8CFBB3},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,33900.6795963021,1778.80711672258
12,99,0.00173643,{E1EADD9C-CA3A-4AD9-9812-7692A846433D},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,48408.617034548,1129.0546434177
13,99,0.12734241,{9D28F08B-6FBB-40BD-84C1-98EF5E12E344},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,3550088.51311375,7937.80162125678
